numero,nome,slug,apelido,aliases,tipo,categoria,faixa_etaria,papel,descricao_curta,asset_futuro,status_imagem,tags,variacoes_planejadas,assets_variacoes_futuras,padrao_visual_avatar,status_variacoes,uid,numero_legacy,card_code,uids_variacoes,card_codes_variacoes,tipo_personagem,classificacao_principal,subcategoria,fase_vida,geracao,geracao_calculada_pelo_usuario,regiao,uf,familia_uid,origens_culturais,comunidades,profissoes,folclore,status_pesquisa
001,Pig,pig-principal,Pig,Pig Principal|Mascote Pig|Professor-amigo,mascote_principal,Guia da marca,atemporal,Professor-amigo e comunicador do Cofrinho Real,O Pig e o guia principal do Cofrinho Real.,assets/characters/001-pig-principal.png,criada,principal|educacao|marca|guia,,,,,MAS-001,001,CR-001-MAS-2026,,,mascote_principal,mascote,mascote_principal,,,false,,,,,,,,nao_aplicavel
002,Pig Bebe,pig-bebe,Bebe,Pig Bebe|Bebe|pig bebe,avatar_usuario,Avatares do usuario,0 a 2 anos,Avatar para conta administrada por responsaveis,Avatar macio e ludico para os primeiros anos.,assets/characters/002-pig-bebe.png,pendente,avatar_usuario|avatares_do_usuario|0 a 2 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/002-pig-bebe-padrao.png;azul=assets/characters/002-pig-bebe-azul.png;rosa=assets/characters/002-pig-bebe-rosa.png;arco_iris=assets/characters/002-pig-bebe-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-002,002,CR-002-AVA-2026,padrao=AVA-002-PAD;azul=AVA-002-AZL;rosa=AVA-002-RSA;arco_iris=AVA-002-ARC,padrao=CR-002-PAD-2026;azul=CR-002-AZL-2026;rosa=CR-002-RSA-2026;arco_iris=CR-002-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_bebe,,true,,,,,,,,nao_aplicavel
003,Pig Primeirinhos,pig-primeirinhos,Primeirinhos,Pig Primeirinhos|Primeirinhos|pig primeirinhos,avatar_usuario,Avatares do usuario,3 a 5 anos,"Avatar para primeiras cores, numeros e vinculo com o cofrinho","Avatar infantil, seguro e brincalhao.",assets/characters/003-pig-primeirinhos.png,pendente,avatar_usuario|avatares_do_usuario|3 a 5 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/003-pig-primeirinhos-padrao.png;azul=assets/characters/003-pig-primeirinhos-azul.png;rosa=assets/characters/003-pig-primeirinhos-rosa.png;arco_iris=assets/characters/003-pig-primeirinhos-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-003,003,CR-003-AVA-2026,padrao=AVA-003-PAD;azul=AVA-003-AZL;rosa=AVA-003-RSA;arco_iris=AVA-003-ARC,padrao=CR-003-PAD-2026;azul=CR-003-AZL-2026;rosa=CR-003-RSA-2026;arco_iris=CR-003-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_primeirinhos,,true,,,,,,,,nao_aplicavel
004,Pig Crianca,pig-crianca,Crianca,Pig Crianca|Crianca|pig crianca,avatar_usuario,Avatares do usuario,6 a 9 anos,"Avatar para moedas, metas simples e jogos educativos","Avatar curioso, escolar e alegre.",assets/characters/004-pig-crianca.png,pendente,avatar_usuario|avatares_do_usuario|6 a 9 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/004-pig-crianca-padrao.png;azul=assets/characters/004-pig-crianca-azul.png;rosa=assets/characters/004-pig-crianca-rosa.png;arco_iris=assets/characters/004-pig-crianca-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-004,004,CR-004-AVA-2026,padrao=AVA-004-PAD;azul=AVA-004-AZL;rosa=AVA-004-RSA;arco_iris=AVA-004-ARC,padrao=CR-004-PAD-2026;azul=CR-004-AZL-2026;rosa=CR-004-RSA-2026;arco_iris=CR-004-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_crianca,,true,,,,,,,,nao_aplicavel
005,Pig Pre-Adolescente,pig-pre-adolescente,Pre,Pig Pre-Adolescente|Pre|pig pre adolescente,avatar_usuario,Avatares do usuario,10 a 12 anos,"Avatar para primeiras escolhas, autonomia e responsabilidade","Avatar moderno, ainda infantil e seguro.",assets/characters/005-pig-pre-adolescente.png,pendente,avatar_usuario|avatares_do_usuario|10 a 12 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/005-pig-pre-adolescente-padrao.png;azul=assets/characters/005-pig-pre-adolescente-azul.png;rosa=assets/characters/005-pig-pre-adolescente-rosa.png;arco_iris=assets/characters/005-pig-pre-adolescente-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-005,005,CR-005-AVA-2026,padrao=AVA-005-PAD;azul=AVA-005-AZL;rosa=AVA-005-RSA;arco_iris=AVA-005-ARC,padrao=CR-005-PAD-2026;azul=CR-005-AZL-2026;rosa=CR-005-RSA-2026;arco_iris=CR-005-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_pre_adolescente,,true,,,,,,,,nao_aplicavel
006,Pig Adolescente,pig-adolescente,Adolescente,Pig Adolescente|Adolescente|pig adolescente,avatar_usuario,Avatares do usuario,13 a 17 anos,"Avatar para consumo consciente, metas e PigCoins","Avatar jovem, confiante e moderno.",assets/characters/006-pig-adolescente.png,pendente,avatar_usuario|avatares_do_usuario|13 a 17 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/006-pig-adolescente-padrao.png;azul=assets/characters/006-pig-adolescente-azul.png;rosa=assets/characters/006-pig-adolescente-rosa.png;arco_iris=assets/characters/006-pig-adolescente-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-006,006,CR-006-AVA-2026,padrao=AVA-006-PAD;azul=AVA-006-AZL;rosa=AVA-006-RSA;arco_iris=AVA-006-ARC,padrao=CR-006-PAD-2026;azul=CR-006-AZL-2026;rosa=CR-006-RSA-2026;arco_iris=CR-006-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_adolescente,,true,,,,,,,,nao_aplicavel
007,Pig Jovem,pig-jovem,Jovem,Pig Jovem|Jovem|pig jovem,avatar_usuario,Avatares do usuario,18 a 24 anos,"Avatar para faculdade, trabalho e metas pessoais",Avatar jovem adulto e casual.,assets/characters/007-pig-jovem.png,pendente,avatar_usuario|avatares_do_usuario|18 a 24 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/007-pig-jovem-padrao.png;azul=assets/characters/007-pig-jovem-azul.png;rosa=assets/characters/007-pig-jovem-rosa.png;arco_iris=assets/characters/007-pig-jovem-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-007,007,CR-007-AVA-2026,padrao=AVA-007-PAD;azul=AVA-007-AZL;rosa=AVA-007-RSA;arco_iris=AVA-007-ARC,padrao=CR-007-PAD-2026;azul=CR-007-AZL-2026;rosa=CR-007-RSA-2026;arco_iris=CR-007-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_jovem,,true,,,,,,,,nao_aplicavel
008,Pig Jovem Adulto,pig-jovem-adulto,Jovem Adulto,Pig Jovem Adulto|Jovem Adulto|pig jovem adulto,avatar_usuario,Avatares do usuario,25 a 34 anos,Avatar para vida independente e controle pessoal,"Avatar moderno, simples e organizado.",assets/characters/008-pig-jovem-adulto.png,pendente,avatar_usuario|avatares_do_usuario|25 a 34 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/008-pig-jovem-adulto-padrao.png;azul=assets/characters/008-pig-jovem-adulto-azul.png;rosa=assets/characters/008-pig-jovem-adulto-rosa.png;arco_iris=assets/characters/008-pig-jovem-adulto-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-008,008,CR-008-AVA-2026,padrao=AVA-008-PAD;azul=AVA-008-AZL;rosa=AVA-008-RSA;arco_iris=AVA-008-ARC,padrao=CR-008-PAD-2026;azul=CR-008-AZL-2026;rosa=CR-008-RSA-2026;arco_iris=CR-008-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_jovem_adulto,,true,,,,,,,,nao_aplicavel
009,Pig Adulto,pig-adulto,Adulto,Pig Adulto|Adulto|pig adulto,avatar_usuario,Avatares do usuario,35 a 49 anos,"Avatar para familia, trabalho, comercio e envio de Pig","Avatar adulto, equilibrado e confiavel.",assets/characters/009-pig-adulto.png,pendente,avatar_usuario|avatares_do_usuario|35 a 49 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/009-pig-adulto-padrao.png;azul=assets/characters/009-pig-adulto-azul.png;rosa=assets/characters/009-pig-adulto-rosa.png;arco_iris=assets/characters/009-pig-adulto-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-009,009,CR-009-AVA-2026,padrao=AVA-009-PAD;azul=AVA-009-AZL;rosa=AVA-009-RSA;arco_iris=AVA-009-ARC,padrao=CR-009-PAD-2026;azul=CR-009-AZL-2026;rosa=CR-009-RSA-2026;arco_iris=CR-009-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_adulto,,true,,,,,,,,nao_aplicavel
010,Pig Coroa,pig-coroa,Coroa,Pig Coroa|Coroa|pig coroa,avatar_usuario,Avatares do usuario,50 a 64 anos,Avatar para experiencia e apoio a familia,"Avatar maduro, acolhedor e bem-humorado.",assets/characters/010-pig-coroa.png,pendente,avatar_usuario|avatares_do_usuario|50 a 64 anos|vila_pig,padrao|azul|rosa|arco_iris,padrao=assets/characters/010-pig-coroa-padrao.png;azul=assets/characters/010-pig-coroa-azul.png;rosa=assets/characters/010-pig-coroa-rosa.png;arco_iris=assets/characters/010-pig-coroa-arco-iris.png,camisa_calca_tenis,padrao=criada;azul=criada;rosa=criada;arco_iris=criada,AVA-010,010,CR-010-AVA-2026,padrao=AVA-010-PAD;azul=AVA-010-AZL;rosa=AVA-010-RSA;arco_iris=AVA-010-ARC,padrao=CR-010-PAD-2026;azul=CR-010-AZL-2026;rosa=CR-010-RSA-2026;arco_iris=CR-010-ARC-2026,avatar_usuario,fase_vida,avatar_usuario,fase_maduro,,true,,,,,,,,nao_aplicavel
